Topic,Owner,Owner URL,Repository Name,Repository URL,Description,Stars
Front end,iview,https://github.com/iview,iview,https://github.com/iview/iview,A high quality UI Toolkit built on Vue.js 2.0,23900
JavaScript,freeCodeCamp,https://github.com/freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",436000
JavaScript,practical-tutorials,https://github.com/practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials,256000
JavaScript,facebook,https://github.com/facebook,react,https://github.com/facebook/react,The library for web and native user interfaces.,242000
JavaScript,vuejs,https://github.com/vuejs,vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",210000
JavaScript,trekhleb,https://github.com/trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,195000
JavaScript,getify,https://github.com/getify,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,A book series (2 published editions) on the JS language.,184000
JavaScript,twbs,https://github.com/twbs,bootstrap,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",174000
JavaScript,airbnb,https://github.com/airbnb,javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,148000
JavaScript,Chalarangelo,https://github.com/Chalarangelo,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,126000
JavaScript,electron,https://github.com/electron,electron,https://github.com/electron/electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",120000
JavaScript,justjavac,https://github.com/justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,📚 免费的计算机编程类中文书籍，欢迎投稿,116000
JavaScript,nodejs,https://github.com/nodejs,node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,115000
JavaScript,mrdoob,https://github.com/mrdoob,three.js,https://github.com/mrdoob/three.js,JavaScript 3D Library.,110000
JavaScript,axios,https://github.com/axios,axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,109000
JavaScript,microsoft,https://github.com/microsoft,TypeScript,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,107000
JavaScript,denoland,https://github.com/denoland,deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,106000
JavaScript,goldbergyoni,https://github.com/goldbergyoni,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,✅ The Node.js best practices list (July 2024),105000
JavaScript,angular,https://github.com/angular,angular,https://github.com/angular/angular,Deliver web apps with confidence 🚀,99700
JavaScript,microsoft,https://github.com/microsoft,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",95100
JavaScript,ryanmcdermott,https://github.com/ryanmcdermott,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,Clean Code concepts adapted for JavaScript,94300
Node.js,freeCodeCamp,https://github.com/freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",436000
Node.js,Chalarangelo,https://github.com/Chalarangelo,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,126000
Node.js,electron,https://github.com/electron,electron,https://github.com/electron/electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",120000
Node.js,nodejs,https://github.com/nodejs,node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,115000
Node.js,axios,https://github.com/axios,axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,109000
Node.js,goldbergyoni,https://github.com/goldbergyoni,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,✅ The Node.js best practices list (July 2024),105000
Node.js,nvm-sh,https://github.com/nvm-sh,nvm,https://github.com/nvm-sh/nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,90900
Node.js,immich-app,https://github.com/immich-app,immich,https://github.com/immich-app/immich,High performance self-hosted photo and video management solution.,89500
Node.js,oven-sh,https://github.com/oven-sh,bun,https://github.com/oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",86500
